slug,url,model,brand,collection,price_value,price_currency,terrain,use_case,release_year,date_published,pronation_support,arch_type,strike_pattern,pace_recommendation,features_special,season,widths_available,material,type_tags,condition,stack_height_mm_heel,stack_height_mm_forefoot,drop_mm,midsole_softness_HA,midsole_softness_in_cold_HA,midsole_softness_in_cold_pct,shock_absorption_SA_heel,shock_absorption_SA_forefoot,energy_return_pct_heel,energy_return_pct_forefoot,weight_g,width_fit_mm_new,width_fit_mm_old,toebox_width_mm_new,toebox_width_mm_old,toebox_height_mm,platform_width_mm_forefoot,platform_width_mm_heel,breathability_score,traction_wet_score,flexibility_force_N,flexibility_force_N_old,stiffness_in_cold_N,cold_stiffness_change_pct,durability_toebox_score,durability_heel_score,durability_outsole_wear_mm,outsole_thickness_mm,outsole_hardness_HC,insole_thickness_mm,tongue_padding_mm,tongue_gusset,heel_tab,removable_insole,orthotic_friendly,breathability_rating,torsional_rigidity_rating,heel_counter_stiffness_rating,reflective_elements,audience_verdict_raw,audience_score,verdict_summary,pros,cons,who_should_buy,who_should_not_buy,price_usd
asics-gt-2000-14,https://runrepeat.com/asics-gt-2000-14,ASICS GT 2000 14,ASICS,Asics Gt 2000,3072740.0,IDR,Road,Hyrox|Jogging|Walking|All-day wear|For beginners,,2025-09-18T11:07:40+00:00,Overpronation,Low arch,Heel strike|Forefoot|Midfoot strike,Daily running,Orthotic friendly|Cushioned|Removable insole,All seasons,Men: Normal|Wide|X-Wide|Women: Narrow|Normal,Mesh,Maximalist,Flat feet|Shin splints,36.9 mm,28.2 mm,8.7 mm,17.4 HA,24.0 HA,38%,132 SA,,56.0%,,269.0,94.5 mm,,68.4 mm,,24.9 mm,117.6 mm,97.1 mm,2,0.47,15.0N,,,,2,4,0.5 mm,4.0 mm,,4.7 mm,6.1 mm,Both sides (semi),None,Yes,True,2.0,4.0,4.0,No,Audience verdict 89 Great! Top 30% in running shoes Top 17% in stability running shoes,89,"The ASICS GT 2000 14 remains, in our view, one of the most reliable stability shoes you can buy.","Improved FF Blast Max foam|Outstanding outsole durability|Stable design without feeling intrusive|Reasonable weight|Same price maintained despite upgrades|Well-crafted, supportive upper|New outsole design improves flexibility|Dependable traction",Limited breathability|Tapered toebox may feel restrictive|Still lacks a truly energetic ride|PureGEL doesn't add much value,"Have narrow feet and want a daily trainer that feels stable with every step.|Disliked the flat feel of FF Blast+ in earlier GT 2000 versions, since the new FF Blast Max offers a better underfoot experience.|Need a shoe that provides a supportive ride, excellent outsole durability plus versatility for everyday use.","We think the ASICS GT 2000 14 is not the best option for heavier runners or those who crave maximum underfoot cushioning. In our experience, its setup feels modest for today’s standards—especially for forefoot strikers or heavier runners—so we recommend the ASICS Gel Kayano 32 as a cushy alternative.|Additionally, we believe the tapered toebox could be a limiting factor. After testing in the lab, we discovered it's a bit restrictive, which makes it unsuitable for those who need extra room for toe splay. For a more roomy fit, we suggest the Altra Experience Form or the Adidas Supernova Solution .",184.66
saucony-triumph-23,https://runrepeat.com/saucony-triumph-23,Saucony Triumph 23,Saucony,Saucony Triumph,3648880.0,IDR,Road,Jogging|Walking|All-day wear,,2025-09-17T14:40:56+00:00,Neutral Pronation|Supination|Underpronation,High arch,Heel strike|Forefoot|Midfoot strike,Daily running,Orthotic friendly|Cushioned|Removable insole,All seasons,Normal|Wide,Mesh|Reflective,For big guys|Maximalist,Plantar fasciitis|Shin splints,42.3 mm,32.3 mm,10.0 mm,25.5 HA,27.5 HA,8%,149 SA,,67.6%,,272.0,93.8 mm,,71.4 mm,,26.8 mm,124.0 mm,98.9 mm,3,0.62,17.5N,,,,3,4,0.7 mm,3.3 mm,,6.3 mm,8.8 mm,Both sides (full),None,Yes,True,3.0,3.0,5.0,Yes,Audience verdict 87 Great! Top 1% in Saucony Triumph running shoes Top 23% most popular running shoes,87,"Saucony went back to the drawing board with the Triumph 23, and in our lab tests we were impressed by the improvements.",Amazing energy return|Lighter than previous version|Huge cushioning for long runs|Wide platform makes it really stable|Full PWRRUN PB midsole|Premium sockliner|Durable build overall|Versatile enough for daily wear|Consistent performance in cold temps|Excellent grip,Price increase|Ventilation could be improved|PWRRUN PB may feel firm to some|Bulkier build limits agility,"Saucony fans who found version 22 disappointing, as this update improves in every key area.|Runners looking for a reliable shoe for long runs over 1.5 hours, thanks to its strong energy return and amazing shock absorption.|Those seeking a premium daily trainer with a durable upper, a grippy outsole, and lively bounce.","We think the Triumph 23 isn’t the best option for runners who dislike oversized shoes. In our experience, it has grown bulkier with each update, and for those who prefer a classic feel, the Adidas Supernova Rise 2 is a more streamlined yet high-quality daily trainer.|We also believe the PWRRUN PB foam may not appeal to everyone. Our assessment is that its firmer feel won’t satisfy fans of plush midsoles. If softness is what you seek, the New Balance Fresh Foam X More v6 is your max-stack shoe, guaranteed. Or go for the Nike Vomero Plus if you prefer a more balanced ride that still leans toward a softer feel underfoot.",219.29
new-balance-fresh-foam-x-more-v-6,https://runrepeat.com/new-balance-fresh-foam-x-more-v-6,New Balance Fresh Foam X More v6,New Balance,New Balance Fresh Foam|New Balance Fresh Foam X|New Balance Fresh Foam X More,3264790.0,IDR,Road,Jogging|Walking|All-day wear,,2025-09-16T07:58:48+00:00,Neutral Pronation|Supination|Underpronation,High arch,Forefoot|Midfoot strike,Daily running,Orthotic friendly|Cushioned|Removable insole,All seasons,Normal|Wide|X-Wide,Mesh|Reflective,Low drop|Maximalist,Shin splints|Knee pain,41.8 mm,38.5 mm,3.3 mm,9.5 HA,16.0 HA,68%,152 SA,,60.1%,,302.0,93.5 mm,,71.3 mm,,24.4 mm,122.5 mm,102.0 mm,2,0.44,17.7N,,,,3,4,0.8 mm,1.9 mm,,3.5 mm,7.4 mm,Both sides (semi),None,Yes,True,2.0,3.0,3.0,Yes,Audience verdict 88 Great! Top 22% in New Balance running shoes Top 14% in New Balance Fresh Foam running shoes Top 5% most popular running shoes,88,The Fresh Foam X More v6 continues New Balance’s formula of cloud-soft cushioning and a super-thick midsole offered at a fair price.,Record-breaking shock absorption|Wide platform ensures stability|Super-plush foam|Improved energy return|Cozy upper|No price hike this year|Ideal for forefoot strikers|Solid durability|Semi-gusseted tongue for secure lockdown|Good torsional flexibility despite its size,"Narrow, low-volume interior fit|Still a heavy shoe|Weak airflow|Low drop doesn't work for everyone","Runners seeking a super-soft, cushioned shoe that still offers decent flexibility for daily use.|High-mileage athletes who want a recovery or easy-day option to refresh tired legs after tough sessions.|Anyone looking for off-the-charts shock absorption in every stride.","We think the More v6 is not the best choice if you dislike heavy shoes. For a lighter yet still super-cushioned option, we suggest the ASICS Novablast 5 , which offers a maximalist midsole with a lower weight.|Additionally, we believe runners who dislike ultra-plush midsoles will struggle with the More v6, as it delivers a very soft ride. If you prefer a more balanced feel, we recommend alternatives like the HOKA Clifton 10 or the Brooks Glycerin Max .",196.2
nike-structure-26,https://runrepeat.com/nike-structure-26,Nike Structure 26,Nike,,2688650.0,IDR,Road,Jogging|Walking|All-day wear,,2025-09-12T19:46:03+00:00,Overpronation,Low arch,Heel strike,Daily running,Orthotic friendly|Cushioned|Removable insole,All seasons,Normal|Wide|X-Wide,Mesh|Reflective,Maximalist,Flat feet|Shin splints,36.1 mm,26.0 mm,10.1 mm,16.9 HA,21.0 HA,25%,132 SA,,57.2%,,296.0,93.7 mm,,71.9 mm,,25.7 mm,114.4 mm,92.4 mm,3,0.37,13.8N,,,,3,4,0.6 mm,3.2 mm,,3.9 mm,10.2 mm,None,None,Yes,True,3.0,4.0,3.0,Yes,Audience verdict 85 Good! Top 14% most popular running shoes,85,Nike has given the Structure 26 a full refresh.,ReactX foam upgrade|Great choice for heel strikers|Comfortable as a neutral daily trainer|Outstanding durability|Plush upper|Solid stability in a compact build|Versatile for everyday use,Limited breathability|Small price bump|Not the best for forefoot strikers|Reduced outsole coverage,"Runners who enjoyed the Structure 25 but felt it was outdated—this update brings a fresh look, new ReactX foam and excellent durability.|Those who prefer a classic stability shoe with a flat-style rocker and moderate stack height.|Pegasus fans who want just a bit more support.","We believe the Nike Structure 26 is not the best choice if weight is a concern. At 10.4 oz (296g), it feels bulky compared to today’s lighter stability trainers. In our view, models like the ASICS GT 2000 13 or HOKA Arahi 8 offer a more lightweight experience without giving up stability and shock absorption.|Additionally, we think forefoot strikers won’t find enough cushioning here, especially for long runs. We measured lower-than-average shock absorption in the front, which limits comfort over distance. For those landing up front, the ASICS Gel Kayano 32 is a better long-distance alternative.",161.58
hoka-arahi-8,https://runrepeat.com/hoka-arahi-8,HOKA Arahi 8,HOKA,Hoka Arahi,3072740.0,IDR,Road,Jogging|Walking|All-day wear,,2025-09-11T20:49:18+00:00,Overpronation,Low arch,Heel strike,Daily running,Orthotic friendly|Cushioned|Removable insole|Rocker,All seasons,Normal|Wide|X-Wide,Mesh|Reflective,Maximalist,Flat feet|Shin splints,39.4 mm,28.1 mm,11.3 mm,16.4 HA,21.5 HA,31%,138 SA,,54.4%,,259.0,95.3 mm,,73.6 mm,,27.6 mm,117.6 mm,96.3 mm,2,0.36,18.3N,,,,5,5,0.5 mm,3.3 mm,,4.5 mm,11.7 mm,None,Extended heel collar,Yes,True,2.0,5.0,3.0,Yes,Audience verdict 85 Good! Top 8% most popular running shoes,85,The HOKA Arahi 8 delivers a long-awaited refresh that makes the shoe feel modern again.,Impressively lightweight for its size|Strong shock absorption|Wider fit than previous versions|Outstanding durability across upper and outsole|Early-Stage Meta Rocker smooths transitions|Higher drop suits better heel strikers|Comfy and plush for everyday use|H-Frame stability system|Comfortable heel counter,Very poor breathability|Grip needs to improve|Still no supercritical foam|Minor price bump,"Runners who found the Arahi 7 too firm and lacking in cushioning, since both issues are improved here.|Anyone looking for a mild stability shoe that feels light underfoot.|Heel strikers who avoided the low drop of previous versions.|Those who want one shoe that’s comfortable (and stable) for daily wear and a few runs each week.","We believe that the HOKA Arahi 8 is not the best choice for runners training in hot climates. In our lab, the shoe’s poor airflow was clear, and a light colorway is not going to fix it. For a breathable alternative with mild stability, we recommend the ASICS GT 2000 13 or the Brooks Adrenaline GTS 23 .|We also think the Arahi 8 falls short in outsole grip. Based on our findings, it was a bit underwhelming on wet surfaces. If this is important for you, the PUMA ForeverRun Nitro 2 is a far superior option, offering a more confidence-inspiring traction in all conditions.",184.66
nike-vomero-plus,https://runrepeat.com/nike-vomero-plus,Nike Vomero Plus,Nike,Nike Vomero,3264790.0,IDR,Road,Jogging|Walking|All-day wear,,2025-09-11T07:11:57+00:00,Neutral Pronation|Supination|Underpronation,High arch,Heel strike|Forefoot|Midfoot strike,Daily running,Orthotic friendly|Cushioned|Removable insole,All seasons,Men: Normal|Wide|X-Wide|Women: Normal,Mesh|Reflective,Maximalist,Shin splints,42.3 mm,32.7 mm,9.6 mm,15.1 HA,16.0 HA,6%,147 SA,,67.1%,,289.0,94.6 mm,,71.1 mm,,26.2 mm,117.0 mm,99.2 mm,3,0.42,19.8N,,,,3,4,0.8 mm,2.9 mm,,3.3 mm,11.2 mm,None,Finger loop,Yes,True,3.0,4.0,3.0,Yes,Audience verdict 91 Superb! Top 7% in road running shoes Top 6% in Nike running shoes Top 2% most popular running shoes,91,We tested the Nike Vomero Plus and found it truly lives up to its name as the “Plus” version of the regular Vomero.,Full ZoomX midsole provides energetic bounce|Outstanding shock absorption in both heel and forefoot|True high-stack design|Premium comfort from walking to long runs|Strong durability|Great pick for easy days|Midsole resists cold very well|Comfortable heel counter|Solid Bondi alternative inside Nike,Heavier than it should|Snug fit and narrow toebox|Non-gusseted tongue|Traction still needs improvement,"It’s a strong option for runners who miss the first two generations of the Nike Invincible, which we loved for its fun ride. While different in areas like flexibility, it delivers similar vibes at times thanks to its full ZoomX midsole.|Runners looking for a daily trainer with energetic bounce and outstanding shock absorption will enjoy it.|It performs wonderfully as an easy-day or recovery shoe for everyone.|Heel strikers will appreciate its solid stability, plush comfort, and high drop.","We believe that the Vomero Plus is not the best option for runners worried about weight. It feels heavy when compared with other high-stack trainers like the ASICS Superblast 2 or even the Hoka Clifton 10 . From our perspective, if you dislike a sluggish feel, we suggest considering those lighter alternatives.|Additionally, we think the high price of the Vomero Plus makes it less appealing against models like the ASICS Novablast 5 or even the lower-tier Nike Vomero 18 . While it does feature a full ZoomX midsole, we’re convinced that not every runner truly needs that.",196.2
asics-metaspeed-sky-tokyo,https://runrepeat.com/asics-metaspeed-sky-tokyo,ASICS Metaspeed Sky Tokyo,ASICS,Asics Metaspeed,5185250.0,IDR,Road,Triathlon|Treadmill,,2025-08-30T17:52:20+00:00,Neutral Pronation|Supination|Underpronation,High arch,Forefoot|Midfoot strike,Competition,Orthotic friendly|Cushioned|Carbon plate|Removable insole|Rocker,Summer|All seasons,Normal,Mesh,Breathable|Maximalist|Lightweight,,38.7 mm,32.7 mm,6.0 mm,11.5 HA,13.0 HA,13%,147 SA,,78.5%,,163.0,90.5 mm,,70.1 mm,,30.6 mm,114.9 mm,75.0 mm,5,0.66,21.1N,,,,1,5,1.4 mm,1.4 mm,,3.1 mm,0.6 mm,None,None,Yes,True,5.0,5.0,1.0,No,Audience verdict 89 Great! Top 28% in road running shoes Top 28% in neutral running shoes,89,"The Metaspeed Sky Tokyo delivers everything a modern supershoe should: super-light construction, airy ventilation, plush cushioning for marathons, and fantastic energy return.",Light as a feather|Explosive energy return|Marathon-ready cushioning|Fantastic ASICSGRIP outsole|Generous toebox height|FF Leap is a true next-level foam|Secure lockdown|Excellent breathability,Higher price tag|Narrow toebox|Unstable for heel strikers,"Runners looking for a damn good supershoe. This one is lightweight, fast, and built with a super-grippy outsole.|Forefoot strikers with low to medium cadence (140-175) aiming to maximize energy return from powerful strides, as the flat plate excels here.|Midfoot or forefoot strikers wanting a marathon shoe that lets them lock into a pace and hold it until the finish line.|Fans of the Metaspeed Sky series. Well, this is without question the best version yet.","We think the Metaspeed Sky Tokyo sacrifices too much heel stability, and in our view it’s a poor choice for this type of runner. In our testing, the narrow heel platform combined with the soft foam created an unstable ride. For a better option with the same bouncy feel and a more stable platform, we recommend the Adidas Adizero Adios Pro 4 or the Nike Alphafly 3 .|We also believe that the narrow toebox can be too restrictive, even for a racing shoe. If that sounds like a concern, we consider that the Saucony Endorphin Pro 4 is a smarter choice—it offers more room up front, better heel support, and... comes at a lower price too.",311.62
on-cloudswift-4,https://runrepeat.com/on-cloudswift-4,On Cloudswift 4,On,On Cloud,3264790.0,IDR,Road,Jogging|Treadmill|Walking|All-day wear,,2025-08-18T13:46:41+00:00,Neutral Pronation|Supination|Underpronation,High arch,Heel strike,Daily running,Orthotic friendly|Cushioned|Removable insole|Rocker,All seasons,Normal,Knit|Reflective,Breathable|For big guys,,32.7 mm,22.3 mm,10.4 mm,36.1 HA,45.1 HA,25%,128 SA,,57.6%,,291.0,93.8 mm,,68.9 mm,,33.5 mm,114.9 mm,93.8 mm,4,0.52,10.7N,,,,3,4,0.8 mm,3.5 mm,,4.2 mm,1.6 mm,Sock like,Finger loop,Yes,True,4.0,3.0,2.0,Yes,Audience verdict 86 Good!,86,"We believe the On Cloudswift 4 is a steady step forward, keeping the same core strengths like premium build quality and a breathable knit upper while making small refinements.",Outstanding knit upper|Improved traction|Premium build quality|Remarkable stable heel|Versatile for everyday use|Well-integrated reflective elements|Plush heel padding|Built with heel strikers in mind,Extremely firm ride|Tight toebox|Performance falls short|Pricey!,"Are a heel striker looking for a shoe with a moderate stack height and willing to pay a little extra for a premium-quality upper.|Want a shoe for daily wear that can also handle light weekend runs.|Enjoyed the Cloudswift 3, as this update keeps the same feel with subtle refinements from heel to toe for a smoother experience.","We think the biggest problem with the Cloudswift 4 is its high price paired with low energy return. In our lab tests, we found that cheaper shoes like the Adidas Supernova Rise 2 or New Balance FuelCell Rebel v5 deliver a springier, more responsive ride. From our perspective, that makes the Cloudswift 4 a poor value choice for serious runners.|We also believe that cushioning falls short, especially for forefoot strikers. In our experience, shoes like the ASICS Novablast 5 or Adidas Adizero EVO SL are much better options. Both offer max-stack comfort, stronger energy return... and lower prices too!",196.2
on-cloudboom-strike,https://runrepeat.com/on-cloudboom-strike,On Cloudboom Strike,On,On Cloud,5377300.0,IDR,Road,Treadmill,,2025-08-12T16:17:32+00:00,Neutral Pronation|Supination|Underpronation,High arch,Forefoot|Midfoot strike,Competition,Orthotic friendly|Cushioned|Carbon plate|Removable insole|Rocker,All seasons,Normal,Mesh,Breathable|Low drop|Maximalist|Lightweight,Knee pain,38.1 mm,34.9 mm,3.2 mm,16.9 HA,17.9 HA,6%,139 SA,,72.1%,,201.0,95.6 mm,,73.4 mm,,27.2 mm,114.1 mm,84.8 mm,4,0.62,17.8N,,,,1,4,1.0 mm,1.6 mm,,6.6 mm,1.2 mm,None,Pull tab,Yes,True,4.0,5.0,1.0,No,Audience verdict 92 Superb! Top 4% in road running shoes Top 5% in On running shoes,92,The Cloudboom Strike is On’s best try yet at making a top supershoe.,Exceptional energy return|Outstanding shock absorption|Lightweight for its high stack|Roomier fit than previous model|Excellent traction|Innovative Pebax insole/midsole design|Perfect for forefoot strikers|Premium-quality materials|Handles anything from 5K to marathons|Generous rubber coverage,Potential heel slippage|Not for heel strikers|A bit expensive|Limited stability,Fans of On who want a supershoe after feeling underwhelmed by the Echo 3.|Runners seeking a marathon shoe with both top-tier energy return and a rare low drop.|Forefoot strikers needing a responsive-and-grippy supershoe that performs across all race distances from 5k to marathons.,"We believe the low drop makes the Cloudboom Strike a poor match for heel strikers, who may feel their stride is less smooth than expected. In our view, forefoot and midfoot strikers will benefit more, but for heel-first landings, we suggest the Nike Vaporfly 4 or the Saucony Endorphin Elite 2 .|We also think runners who need even moderate stability in a supershoe should look elsewhere. Based on our findings, the Nike Alphafly 3 and Adidas Adizero Adios Pro 4 deliver a more planted, secure ride while offering similar or even better running efficiency.",323.16
nike-wildhorse-10,https://runrepeat.com/nike-wildhorse-10,Nike Wildhorse 10,Nike,Nike Wildhorse,2880700.0,IDR,Trail,,,2025-08-04T15:31:33+00:00,Neutral Pronation|Supination|Underpronation,High arch,Heel strike,,Orthotic friendly|Cushioned|Removable insole|Rock plate|Rocker,All seasons,Normal,Mesh|Reflective,Maximalist,,38.3 mm,27.4 mm,10.9 mm,14.6 HA,19.9 HA,36%,144 SA,,61.3%,,312.0,96.9 mm,,75.4 mm,,28.0 mm,120.6 mm,93.8 mm,3,,15.0N,,,,1,5,1.3 mm,1.6 mm,88.4 HC,5.0 mm,8.3 mm,Both sides (semi),Finger loop,Yes,True,3.0,3.0,3.0,Yes,Audience verdict 91 Superb! Top 5% in trail running shoes Top 11% in Nike running shoes,91,The Nike Wildhorse 10 is a full overhaul that left us with mixed feelings.,Cushion-packed midsole|Modernized upper|Ideal for heel strikers|Better build quality|Bold new look with better finish|Versatile|Improved energy return|Forefoot rock plate﻿,Still too heavy|Mesh upper is fragile|Brutal price hike|Less agile than predecessors,"Those who liked previous Wildhorse models but wanted modern materials and extra cushioning. Nike delivers exactly that here.|Trail runners looking for a do-it-all shoe suited for easy to moderate terrain, complete with a forefoot rock plate.|Heel strikers who need strong shock absorption and want a shoe that can handle trail runs, travel, or even casual daily wear.","We think the Wildhorse 10 isn’t the best choice if budget is a concern. Its price jump over the previous version feels steep, especially when you can get more wallet-friendly trail shoes like the Merrell Nova 3 or the Nike Juniper Trail 3 .|We’re also convinced that the upper may not hold up for trail runners who usually wear through shoes fast, as we discovered its engineered mesh lacks long-term toughness. For a more rugged-and-ready design, we recommend the Nike Zegama 2 or the Merrell Agility Peak 5 .",173.12
asics-gel-venture-10,https://runrepeat.com/asics-gel-venture-10,ASICS Gel Venture 10,ASICS,Asics Gel|Asics Gel Venture,1824440.0,IDR,Trail,,,2025-08-01T16:00:47+00:00,Neutral Pronation|Supination|Underpronation,High arch,Heel strike,,Orthotic friendly|Cushioned|Removable insole,All seasons,Men: Normal|Wide|X-Wide|Women: Normal,Mesh,Breathable|Maximalist,,35.3 mm,23.3 mm,12.0 mm,16.5 HA,23.5 HA,42%,105 SA,,52.8%,,322.0,92.7 mm,,67.5 mm,,30.6 mm,114.1 mm,88.8 mm,4,,12.6N,,,,4,5,0.6 mm,2.4 mm,86.4 HC,5.2 mm,8.5 mm,None,Finger loop,Yes,True,4.0,4.0,3.0,No,Audience verdict 86 Good! Top 22% most popular running shoes,86,The ASICS Gel Venture 10 brings unbeatable bang for your buck with its durable build and go-anywhere feel.,"Fantastic durability|Amazing value|Ideal for beginners|Softer Amplifoam midsole|Versatile for trail, travel, casual wear...|Improved upper|Plush tongue with pressure-free lacing|Trail-inspired details at budget price",Only for narrow feet|Heavy|Low shock absorption and energy return,Beginners looking for a versatile and cheap option for all outdoor adventures.|Trail runners needing one do-it-all shoe that handles different surfaces and offers strong value.|Runners wanting a budget-friendly door-to-trail shoe that also works for casual use or travel.,"We believe that the Gel Venture 10 falls short for runners who expect a comfort-focused, protective ride, as it features low shock absorption. From our point of view, if you're looking for a plush-and-protective trail experience, you'd be better off with something like the ASICS Trabuco Max 3 .|We’re also convinced that the fit is a deal-breaker for many. The ultra-narrow toebox and tapered silhouette limit this shoe almost exclusively to narrow-footed runners. If you're worried about this, check the Nike Juniper Trail 3 or the ASICS Gel Excite Trail 2 .",109.64
